Episode,Fall State
1,0
302,0
320,1
321,0
421,1
422,1
423,0
725,1
726,1
727,0
1029,1
1030,0
1332,0
1634,1
1635,0
1767,0
1913,0
2215,0
2517,0
2643,0
2775,1
2776,0
2906,1
2907,0
3209,1
3210,0
3512,1
3513,0
3565,0
3791,0
4093,0
4395,0
4443,0
4745,0
5047,0
5349,0
5651,0
5953,0
6255,1
6256,0
6486,1
6487,0
6689,1
6690,0
6992,0
7004,0
7306,1
7307,0
7377,0
7499,1
7500,1
7501,0
7547,1
7548,0
7572,1
7573,1
7574,0
7852,0
8154,1
8155,1
8156,0
8458,0
8760,0
9062,1
9063,0
9067,0
9369,0
9671,1
9672,0
9974,0
10276,0
10578,0
10880,0
10928,1
10929,0
11187,1
11188,0
11490,0
11606,0
11908,1
11909,0
12211,0
12513,0
12523,0
12825,0
13069,1
13070,0
13372,0
13674,0
13976,0
14278,0
14580,0
14882,0
15184,0
15486,0
15788,0
15846,0
15968,0
16270,0
16572,1
16573,1
16574,0
16876,0
17178,0
17382,0
17684,0
17986,0
18172,1
18173,1
18174,0
18476,0
18584,0
18886,0
19188,0
19254,0
19556,0
19858,1
19859,1
19860,0
20162,0
20464,0
20686,0
20912,1
20913,0
21215,0
21363,0
21665,0
21967,0
22269,0
22571,0
22873,0
23175,0
23477,1
23478,1
23479,0
23781,0
24083,0
24385,0
24687,0
24963,0
25265,0
25567,1
25568,0
25816,0
26118,1
26119,1
26120,0
26316,0
26618,0
26752,0
27054,0
27356,0
27658,0
27960,1
27961,0
28061,0
28149,0
28451,0
28753,0
29055,0
29239,0
29517,0
29819,0
29853,0
30155,0
30457,1
30458,0
30524,0
30826,0
31128,0
31430,0
31732,1
31733,0
32035,0
32251,0
32491,0
32793,0
33079,0
33381,0
33619,0
33919,0
34221,0
34523,0
34825,0
35127,1
35128,0
35430,0
35732,1
35733,1
35734,1
35735,0
36037,0
36339,1
36340,0
36642,0
36944,0
37154,0
37456,1
37457,0
37759,1
37760,1
37761,0
38063,0
38271,0
38573,0
38875,0
39177,1
39178,1
39179,0
39481,0
39783,1
39784,0
39972,0
40274,1
40275,1
40276,0
40578,0
40880,1
40881,0
41183,0
41485,0
41787,1
41788,0
42090,0
42264,0
42320,1
42321,1
42322,0
42348,0
42494,1
42495,0
42797,1
42798,0
42874,0
43114,0
43416,0
43718,1
43719,0
44021,0
44323,1
44324,0
44626,0
44924,0
45226,0
45528,0
45830,1
45831,0
46133,0
46435,0
46737,0
47039,1
47040,0
47342,0
47644,0
47946,0
48248,0
48436,0
48738,1
48739,0
48777,0
49079,0
49381,0
49683,1
49684,0
49986,0
50288,0
50394,0
50696,0
50750,0
51052,1
51053,0
51331,0
51633,0
51935,0
52237,0
52539,0
52841,0
53143,1
53144,0
53360,0
53662,1
53663,0
53965,0
54267,0
54569,1
54570,1
54571,0
54787,0
55089,0
55391,0
55693,0
55975,1
55976,1
55977,0
56279,0
56581,1
56582,1
56583,1
56584,0
56886,0
57010,0
57312,0
57614,0
57916,1
57917,0
58219,0
58521,0
58823,0
59125,1
59126,0
59428,1
59429,1
59430,0
59732,0
60034,0
60098,0
60182,0
60484,0
60646,0
60948,0
61250,0
61552,0
61854,0
61886,1
61887,1
61888,1
61889,1
61890,0
