Episode,average deviation
1,0.09
1,0.03
2,0.09
3,0.13
4,0.04
5,0.1
6,0.07
7,0.07
8,0.15
9,0.31
10,0.07
11,0.07
12,0.08
13,0.27
14,0.12
15,0.02
16,0.0
17,0.09
18,0.05
19,0.2
20,0.02
21,0.03
22,0.21
23,0.08
24,0.07
25,0.13
26,0.0
27,0.09
28,0.07
29,0.05
30,0.06
31,0.05
32,0.08
33,0.12
34,0.05
35,0.03
36,0.1
37,0.07
38,0.12
39,0.09
40,0.05
41,0.04
42,0.04
43,0.08
44,0.57
45,0.11
46,0.04
47,0.11
48,0.02
49,0.06
50,0.05
51,0.01
52,0.22
52,0.54
53,0.03
54,0.02
55,0.09
56,0.09
57,0.02
58,0.03
59,0.01
60,0.06
60,0.14
61,0.1
61,0.1
62,0.06
63,0.01
64,0.03
65,0.05
66,0.06
67,0.04
68,0.03
69,0.09
70,0.1
71,0.0
72,0.22
73,0.09
74,0.06
75,0.04
76,0.08
77,0.17
77,0.33
78,0.27
79,0.05
80,0.01
81,0.02
82,0.12
82,0.17
83,0.04
83,0.08
84,0.11
85,0.03
86,0.02
86,0.31
87,0.3
88,0.1
89,0.05
90,0.07
90,0.12
91,0.01
92,0.2
92,0.46
93,0.09
94,0.03
95,0.08
95,0.39
96,0.04
97,0.25
98,0.08
99,0.02
100,0.04
101,0.02
102,0.26
103,0.1
103,0.37
104,0.05
105,0.06
106,0.01
107,0.09
108,0.21
109,0.07
109,0.12
110,0.01
111,0.19
112,0.05
112,0.36
113,0.04
114,0.05
115,0.02
116,0.1
117,0.12
118,0.02
119,0.02
120,0.0
121,0.17
122,0.09
123,0.03
124,0.12
125,0.5
126,0.01
127,0.16
128,0.06
129,0.04
130,0.03
131,0.09
132,0.1
133,0.0
134,0.01
135,0.06
135,0.44
136,0.02
137,0.29
138,0.03
139,0.07
140,0.09
141,0.02
142,0.13
143,0.06
144,0.08
145,0.05
146,0.09
147,0.02
147,0.04
148,0.04
148,0.06
149,0.04
150,0.06
151,0.04
152,0.07
153,0.06
154,0.2
155,0.03
156,0.09
157,0.05
158,0.01
159,0.05
160,0.04
161,0.05
162,0.13
162,0.68
163,0.04
164,0.09
165,0.37
166,0.19
167,0.06
168,0.05
169,0.02
170,0.08
171,0.06
172,0.07
173,0.02
173,0.23
174,0.04
175,0.05
175,0.07
176,0.03
177,0.3
178,0.23
179,0.03
180,0.09
181,0.05
182,0.17
182,0.26
183,0.03
183,0.32
184,0.09
185,0.19
186,0.02
187,0.05
188,0.04
188,0.01
189,0.16
190,0.01
191,0.03
191,0.07
192,0.12
193,0.05
193,0.06
194,0.1
194,0.09
195,0.02
196,0.12
197,0.12
198,0.04
199,0.02
200,0.04
201,0.11
202,0.09
203,0.07
204,0.07
204,0.11
205,0.05
206,0.13
206,0.06
207,0.27
208,0.07
208,0.19
209,0.02
210,0.02
210,0.16
211,0.32
211,0.57
212,0.07
213,0.04
214,0.01
215,0.0
216,0.05
217,0.06
218,0.12
219,0.05
220,0.25
221,0.07
222,0.02
223,0.11
224,0.01
225,0.11
226,0.08
226,0.22
227,0.13
227,0.24
228,0.02
229,0.04
230,0.05
231,0.14
232,0.12
233,0.03
234,0.24
235,0.01
236,0.11
236,0.42
237,0.02
238,0.08
239,0.0
240,0.04
241,0.08
242,0.11
243,0.18
244,0.13
245,0.08
246,0.01
247,0.02
248,0.01
249,0.02
250,0.02
251,0.04
252,0.07
253,0.01
254,0.12
255,0.04
255,0.09
256,0.08
257,0.07
258,0.02
259,0.01
260,0.04
